"","player","salary"
"1","LeBron James","30963450"
"2","Mike Conley","26540100"
"3","James Harden","26540100"
"4","Russell Westbrook","26540100"
"5","DeMar DeRozan","26540100"
"6","Al Horford","26540100"
"7","Kevin Durant","26540100"
"8","Dirk Nowitzki","25000000"
"9","Carmelo Anthony","24559380"
"10","Damian Lillard","24328425"
"11","Chris Bosh","23741060"
"12","Dwight Howard","23500000"
"13","Dwyane Wade","23200000"
"14","Chris Paul","22868827"
"15","Andre Drummond","22116750"
"16","Hassan Whiteside","22116750"
"17","Anthony Davis","22116750"
"18","Bradley Beal","22116750"
"19","Harrison Barnes","22116750"
"20","Chandler Parsons","22116750"
"21","Derrick Rose","21323252"
"22","Brook Lopez","21165675"
"23","Kevin Love","21165675"
"24","DeAndre Jordan","21165675"
"25","Marc Gasol","21165675"
"26","Nicolas Batum","20869566"
"27","LaMarcus Aldridge","20575005"
"28","Blake Griffin","20093064"
"29","Paul Millsap","20072033"
"30","Ryan Anderson","18735364"
"31","Allen Crabbe","18500000"
"32","Paul George","18100000"
"33","Luol Deng","18000000"
"34","Kyrie Irving","17638063"
"35","Kawhi Leonard","17638063"
"36","Jimmy Butler","17552209"
"37","Tobias Harris","17200000"
"38","Greg Monroe","17145838"
"39","Enes Kanter","17145838"
"40","Wesley Matthews","17145838"
"41","Joakim Noah","17000000"
"42","Bismack Biyombo","17000000"
"43","Evan Fournier","17000000"
"44","Klay Thompson","16663575"
"45","Evan Turner","16393443"
"46","Gordon Hayward","16073140"
"47","Ian Mahinmi","16000000"
"48","Timofey Mozgov","16000000"
"49","Goran Dragic","15891725"
"50","DeMarcus Cousins","15756438"
"51","John Wall","15756438"
"52","Kent Bazemore","15730337"
"53","Pau Gasol","15500000"
"54","Tristan Thompson","15330435"
"55","Draymond Green","15330435"
"56","Khris Middleton","15200000"
"57","Danilo Gallinari","15050000"
"58","Jeff Green","15000000"
"59","Reggie Jackson","14956522"
"60","Deron Williams","14885520"
"61","Tony Parker","14445313"
"62","Jonas Valanciunas","14382023"
"63","DeMarre Carroll","14200000"
"64","Eric Bledsoe","14000000"
"65","Rajon Rondo","14000000"
"66","Josh Smith","14000000"
"67","Manu Ginobili","14000000"
"68","Ricky Rubio","13400000"
"69","Rudy Gay","13333333"
"70","Jamal Crawford","13253012"
"71","Robin Lopez","13219250"
"72","Michael Kidd-Gilchrist","13000000"
"73","J.R. Smith","12800000"
"74","Brandon Knight","12606250"
"75","Arron Afflalo","12500000"
"76","Jordan Clarkson","12500000"
"77","Tyson Chandler","12415000"
"78","Miles Plumlee","12400000"
"79","Eric Gordon","12385665"
"80","John Henson","12267606"
"81","Marvin Williams","12250000"
"82","Serge Ibaka","12250000"
"83","Stephen Curry","12112359"
"84","Nikola Pekovic","12100000"
"85","Kenneth Faried","12078652"
"86","Thaddeus Young","12078652"
"87","Marcin Gortat","12000000"
"88","Kemba Walker","12000000"
"89","Amir Johnson","12000000"
"90","Kyle Lowry","12000000"
"91","Nikola Vucevic","11750000"
"92","Solomon Hill","11709603"
"93","Jeremy Lin","11483254"
"94","Andrew Bogut","11410378"
"95","Courtney Lee","11242000"
"96","Wilson Chandler","11233146"
"97","Andre Iguodala","11131368"
"98","Derrick Favors","11050000"
"99","Austin Rivers","11000000"
"100","Joe Johnson","11000000"
"101","Jrue Holiday","11000000"
"102","Jon Leuer","10991957"
"103","Anderson Varejao","10851659"
"104","Monta Ellis","10763500"
"105","Mirza Teletovic","10500000"
"106","Jared Dudley","10470000"
"107","Al Jefferson","10230179"
"108","Tyreke Evans","10203755"
"109","Terrence Ross","10000000"
"110","Danny Green","10000000"
"111","Zach Randolph","10000000"
"112","Alec Burks","9904495"
"113","Omer Asik","9904494"
"114","Iman Shumpert","9662922"
"115","Matthew Dellavedova","9607500"
"116","Jerryd Bayless","9424084"
"117","Trevor Booker","9250000"
"118","Meyers Leonard","9213484"
"119","Gerald Henderson","9000000"
"120","Moe Harkless","8988764"
"121","Taj Gibson","8950000"
"122","E'Twaun Moore","8801363"
"123","Kris Humphries","8630000"
"124","Ersan Ilyasova","8400000"
"125","Dwight Powell","8375000"
"126","Avery Bradley","8269663"
"127","Tiago Splitter","8250000"
"128","Darrell Arthur","8070175"
"129","Kosta Koufos","8046500"
"130","Tyler Zeller","8000000"
"131","Garrett Temple","8000000"
"132","Anthony Tolliver","8000000"
"133","Jeff Teague","8000000"
"134","Kevin Garnett","8000000"
"135","George Hill","8000000"
"136","Channing Frye","7806971"
"137","Trevor Ariza","7800000"
"138","Jose Calderon","7708427"
"139","Al-Farouq Aminu","7680965"
"140","Cole Aldrich","7643979"
"141","Corey Brewer","7612172"
"142","Markieff Morris","7400000"
"143","Festus Ezeli","7400000"
"144","JJ Redick","7377500"
"145","Cory Joseph","7315000"
"146","DJ Augustin","7250000"
"147","Jeremy Lamb","7000000"
"148","Louis Williams","7000000"
"149","Rodney Stuckey","7000000"
"150","Boris Diaw","7000000"
"151","Jason Thompson","6825000"
"152","Sergio Rodriguez","6800000"
"153","Carl Landry","6750000"
"154","Ed Davis","6666667"
"155","Isaiah Thomas","6587131"
"156","Victor Oladipo","6552960"
"157","Jodie Meeks","6540000"
"158","Matt Barnes","6508351"
"159","Aron Baynes","6500000"
"160","Marco Belinelli","6333333"
"161","Jae Crowder","6286408"
"162","Tarik Black","6191000"
"163","Lance Thomas","6191000"
"164","Andrew Nicholson","6088993"
"165","Patrick Patterson","6050000"
"166","Andrew Wiggins","6006600"
"167","Wayne Ellington","6000000"
"168","Ishmael Smith","6000000"
"169","Patrick Beverley","6000000"
"170","Ramon Sessions","6000000"
"171","Alex Abrines","5994764"
"172","Karl-Anthony Towns","5960160"
"173","Ben Simmons","5903160"
"174","Otto Porter","5893981"
"175","Josh McRoberts","5782450"
"176","Spencer Hawes","5782450"
"177","Nikola Mirotic","5782450"
"178","Shaun Livingston","5782450"
"179","Brandan Wright","5709880"
"180","Tim Duncan","5643750"
"181","Boban Marjanovic","5628000"
"182","Wesley Johnson","5628000"
"183","Tyler Johnson","5628000"
"184","Jared Sullinger","5628000"
"185","Brandon Jennings","5587318"
"186","Nick Young","5443918"
"187","Jabari Parker","5374320"
"188","Lance Stephenson","5371672"
"189","D'Angelo Russell","5332800"
"190","Cody Zeller","5318313"
"191","PJ Tucker","5300000"
"192","Brandon Ingram","5281680"
"193","Kyle Korver","5239437"
"194","Darren Collison","5229454"
"195","Larry Sanders","5207722"
"196","Langston Galloway","5200000"
"197","Derrick Williams","5020145"
"198","Jason Smith","5000000"
"199","CJ Watson","5000000"
